img_path,text,width,height
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_126055.jpg,"A living room in french style, watermark, sharp, rendering, open_dataset. This is a modern and stylish living room that features a mix of neutral and bright colors. The room has a high ceiling with a decorative chandelier hanging from it. The walls are painted in a light mint green color, and the floor is covered with large beige tiles.

The main furniture in the room includes a dark blue sofa with yellow and blue throw pillows, positioned against the wall. In front of the sofa, there is a white and yellow coffee table. To the right of the sofa, there is a black and yellow side table with a tall green plant on top of it. 

On the left side of the room, there is a white entertainment unit with a flat-screen TV. Above the TV, there are several framed pictures hung in a gallery-style arrangement. There is also a small circular window that provides natural light. 

Other secondary items in the room include a yellow armchair with a matching footstool, a decorative wall clock, and a few potted plants. There are also several stools in different shades of blue and green, placed around the coffee table for additional seating.",2000,1500
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1027763.jpg,"A living room in modern chinese style, watermark, sharp, rendering, open_dataset. This is a living room with a modern and elegant design. The room has a neutral color palette with beige and brown tones, complemented by warm yellow lighting.

The ceiling is adorned with recessed lighting and a central chandelier, which adds a touch of luxury to the space. The walls are painted in a soft beige color, with one wall featuring a textured wallpaper with a floral pattern. The flooring is made of light wood in a herringbone pattern, which gives the room a sophisticated look.

The main furniture in the room includes a beige sofa with matching armchairs, positioned around a glass coffee table in the center of the room. There is also a wooden console table against one wall, with a mirror above it and decorative vases on top.

Other notable items in the room include a round wall mirror with a wooden frame, a floor lamp next to the sofa, and a potted plant in the corner. The large windows at the back of the room provide plenty of natural light and offer a view of the outside garden. The curtains framing the windows are in a dark brown color, which complements the overall color scheme of the room.",1600,960
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1032291.jpg,"A bedroom in french style, watermark, high saturation, open_dataset. The image depicts a spacious and elegantly designed bedroom. The style of the room appears to be a blend of classic and modern elements, with a warm and inviting ambiance.

The overall features of the room include walls painted in a soft beige color, a white ceiling with intricate moldings, and a polished wooden floor with a large, patterned area rug in the center. The room also has two large windows with beige curtains, allowing natural light to flood in.

The main furniture in the room is a large king-sized bed with a beige upholstered headboard, positioned in the center of the room. The bed is dressed with crisp white sheets, a quilted beige bedspread, and decorative pillows. A wooden nightstand with a classic table lamp is placed on one side of the bed, while a wooden dresser with a mirror is located on the opposite side.

Other prominent items in the room include a chandelier hanging from the center of the ceiling, adding a touch of elegance to the space. A wooden screen with intricate cut-out designs is placed near the entrance of the room, providing privacy and adding visual interest.

Additionally, there is a framed painting hanging above the bed, adding a pop of color to the room. The room also features a few potted plants, adding a touch of greenery and freshness to the space.

Overall, the room exudes a sense of luxury and comfort, with a well-thought-out layout and carefully selected furniture and decor items.",1000,834
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1100132.jpg,"A living room in scandinavian style, watermark, rendering, open_dataset. This picture shows a modern and minimalist style apartment interior with an open floor plan. The overall features include light gray walls, a white ceiling, and a light beige tiled floor. 

In the main area, there is a gray sofa with beige and orange patterned cushions placed against the wall facing a flat-screen TV on a white and gold TV stand. To the left of the sofa, there is a round white and black patterned rug with a black coffee table on top. A large potted plant sits in the corner behind the sofa.

In the dining area, there is a white round table with four chairs, a pendant light above, and a large window with curtains on the back wall. The kitchen area has light gray cabinets, a stainless steel refrigerator, and a small kitchen island with two bar stools.

Some of the secondary items in the room include wall paintings, a floor lamp, and decorative vases on the TV stand and dining table. A small gold console table with a mirror above it is placed near the entrance.",1200,900
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1035236.jpg,"A living room in scandinavian style, sharp, rendering, open_dataset. This is a modern and cozy living room with a warm and inviting ambiance. The room has neutral tones with beige walls, a white ceiling, and light wood flooring. There is a large, comfortable sofa in the center of the room, with colorful throw pillows arranged on it. In front of the sofa, there is a glass coffee table with black metal legs, and two yellow stools that serve as additional seating. 

On the wall behind the sofa, there is a gallery of framed pictures and artwork, adding a personal touch to the space. Beside the sofa, there is a floor lamp with a black shade, providing extra lighting. 

In the corner of the room, there is a small side table with a potted plant on top, bringing some greenery into the space. The room is bright and airy, with natural light streaming in from the large windows. The overall atmosphere is welcoming and comfortable, perfect for relaxing and spending time with family and friends.",1800,1407
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_156203.jpg,"A bedroom in french style, watermark, rendering, open_dataset. This is a spacious bedroom with a modern and elegant style. The overall color scheme of the room is a combination of soft purple and white, giving it a cozy and serene atmosphere. The walls are adorned with light purple wallpaper, and the ceiling is painted white with a stylish chandelier hanging in the center. The flooring is a light wood, which adds warmth to the room.

The main feature of the room is a large, comfortable bed with a bright yellow duvet cover and white pillows. The bed is positioned in the center of the room, with two white bedside tables on either side. Across from the bed, there is a built-in wardrobe with white doors and silver handles, providing ample storage space.

Next to the wardrobe, there is a small study area with a white desk and a modern chair. The desk is decorated with a few small plants and a colorful cushion. Above the desk, there is a set of framed pictures and quotes hanging on the wall, adding a personal touch to the space.

Other secondary items in the room include a round mirror above the bed, a gray armchair with a yellow throw pillow in the corner, and a small table with a blue vase and some books next to the armchair. The room is well-lit with natural light coming in from the large window and additional lighting from the chandelier and bedside lamps.",1780,1001
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_104485.jpg,"A bedroom in modern chinese style, watermark, sharp, open_dataset. This image depicts a modern and elegant bedroom with a neutral color palette and pops of blue accents. The room has a spacious layout with high ceilings and large windows that let in plenty of natural light. The walls are painted in a light beige color, with white crown molding and baseboards that add a touch of sophistication. The ceiling is adorned with a grand chandelier that hangs in the center of the room, adding a touch of glamour.

The floor is covered in dark hardwood planks that run the length of the room, creating a warm and inviting atmosphere. In the center of the room, there is a large king-sized bed with a plush beige headboard and matching bedding. The bed is flanked by two matching nightstands, each with a lamp and a small decorative vase. At the foot of the bed, there is a bench with a cushioned seat, providing additional seating and a convenient place to put on shoes.

On the walls, there are several pieces of artwork, including a large abstract painting above the bed and two smaller botanical prints on either side of the room. The windows are dressed with floor-to-ceiling curtains in a soft blue color that complements the blue accent pillows on the bed.

Other noteworthy items in the room include a small desk and chair in the corner, a potted plant on one of the nightstands, and a cozy reading nook by the window with a comfortable armchair and a floor lamp. Overall, the room has a serene and sophisticated ambiance, with carefully chosen decor and a cohesive design scheme.",1600,1000
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1001690.jpg,"A dining room in modern chinese style, watermark, open_dataset. This is a picture of a dining room with a classic and elegant style. The room has a high ceiling with intricate white molding and a grand crystal chandelier hanging in the center. The walls are covered in a patterned beige wallpaper, and the floor is made of white marble with a darker border. 

The main feature of the room is the large oval wooden dining table in the middle, surrounded by eight upholstered chairs with floral patterns. The table is set with white plates, wine glasses, and a centerpiece of flowers. 

To the left of the dining table, there is a white built-in cabinet with glass doors displaying fine china and other decorative items. Above the cabinet, a flat-screen TV is mounted on the wall. 

On the right side of the room, there are floor-to-ceiling windows with white curtains that let in natural light. In front of the windows, there is a small round table with a vase of flowers on it. 

Other minor decorative items in the room include wall sconces, a decorative mirror above the cabinet, and small potted plants placed on the window sill and the dining table.",981,861
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_1073602.jpg,"A living room in modern chinese style, multiple watermark, rendering, high saturation, open_dataset. This image shows a luxurious living room with a classic and elegant style. The room has a high ceiling, with intricate moldings and a grand chandelier hanging in the center. The walls are adorned with decorative panels and a large mirror with a golden frame, which adds a touch of sophistication. The floor is covered with a patterned carpet that complements the overall color scheme of the room.

The main furniture in the room includes a brown leather sofa set, consisting of two armchairs and a three-seater couch, all arranged around a wooden coffee table. The sofa set is placed on an area rug, which adds warmth and texture to the space. There is also a wooden side table with a lamp, and a TV mounted on the wall across from the sofa.

The room also features large windows with heavy blue curtains, allowing natural light to filter in. Next to the windows, there is a small seating area with a blue armchair and a side table, creating a cozy nook for reading or relaxing.

Other decorative elements in the room include a large abstract painting on the wall, several potted plants, and a variety of decorative objects on the coffee table and side tables, such as books, candles, and vases. Overall, the room exudes an air of luxury and comfort, with a harmonious blend of colors, textures, and decorative accents.",857,1000
/images/open_dataset/0/laion5b_00000-fc82da14-99c9-4ff6-ab6a-ac853ac82819-c000_109627.jpg,"A bedroom in french style, sharp, rendering, open_dataset. This image depicts a bedroom with a classic and elegant style. The room has a neutral color scheme with beige walls and a white ceiling that features intricate molding designs. The flooring is a dark hardwood, which contrasts nicely with the light-colored walls and ceiling. 

The room is dominated by a large bed in the center, which is adorned with plush pillows in shades of pink and purple. There is a dark wood nightstand to the right of the bed, with a modern lamp on top. To the left, there is a comfortable armchair with a matching ottoman, both upholstered in a dark purple fabric. 

Above the bed, there is a beautiful chandelier with multiple lights, providing a warm and cozy ambiance to the room. The large windows are dressed with elegant curtains in a beige color, allowing natural light to flood the space. 

On the wall opposite the bed, there is a large framed mirror, which adds depth and dimension to the room. There are also various decorative items scattered throughout the space, such as vases, picture frames, and books, which add to the overall sophistication and charm of the bedroom.",1600,1188
